Prey Highest,Prey Higher,Prey Phylum,Prey Class,Prey Order,Prey Family,Prey Genus,Prey Species,Prey Species Current,Prey Species ID #,Prey Count,Snake Species,Snake Subspecies,FullSpName,Snake Species ID #,Snake Age Class,Snake SVL(mm),Snake Sex,Location,Latitude,Longitude,Citation,Full Citation,Reference DOI
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Rana,Rana cascadae,Rana cascadae,ITIS:173450,1,Thamnophis atratus,,Thamnophis atratus,ITIS:209141,Adult,,,"Trinity Alps Wilderness Area, Trinity County, California",37.24201,-119.60594,Garwood and Welsh 2005,"Garwood, J., Welsh, H. RANA CASCADAE (Cascades Frog). PREDATION. 2005. Herpetological Review 36(2): 165-165",
Fish,Fish,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hesperoleucus,Hesperoleucus symmetricus,Hesperoleucus symmetricus,ITIS:163565,1,Thamnophis atratus,,Thamnophis atratus,ITIS:209141,Adult,595,,"Bennett Creek, Mendocino National Forest, Tehama County, California",39.83195,-122.63318,Fellers et al 2006,"Fellers, G., Dhundale, J., Ruiz, K. THAMNOPHIS ATRATUS (Aquatic Gartersnake). PREDATION. 2006. Herpetological Review 37(2): 235-236",
Fish,Fish,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,,,ITIS:167229,1,Thamnophis atratus, hydrophilus,Thamnophis atratus hydrophilus,ITIS:209146,Adult,,Female,"Spanish Creek, King Range National Conservation Area, Humboldt County, California",40.18333,-124.25667,Bettaso et al 2007,"Bettaso, J., Studebaker, R., Garwood, J. THAMNOPHIS ATRATUS HYDROPHILUS (Oregon Gartersnake). DIET. 2007. Herpetological Review 38(2): 211-212",
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Salamandridae,Taricha,Taricha granulosa,Taricha granulosa,ITIS:173620,1,Thamnophis atratus, atratus,Thamnophis atratus atratus,ITIS:209145,Adult,750,,"Monte Bello Pond, Santa Cruz Mountains, Santa Clara County, California",37.32108,-122.18548,Greene and Feldman 2009,"Greene, R. Feldman, C. THAMNOPHIS ATRATUS ATRATUS (Santa Cruz Gartersnake). DIET. 2009. Herpetological Review 40(1): 103-104",
Fish,Fish,Chordata,Hyperartia,Petromyzontiformes,Petromyzontidae,Entosphenus,Entosphenus tridentatus,Entosphenus tridentatus,ITIS:159699,1,Thamnophis atratus, hydrophilus,Thamnophis atratus hydrophilus,ITIS:209146,Juvenile,188,,California ,41.5794,-123.5303,Parker and Parker 2011,"Parker, M. and Parker, E. THAMNOPHIS ATRATUS HYDROPHILUS (Oregon Gartersnake). DIET. 2011. Herpetological Review 42(3): 445-445",
Amphibian ,Salamander Larvae,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,Ambystoma californiense,Ambystoma californiense,ITIS:173595,1,Thamnophis atratus,,Thamnophis atratus,ITIS:209141,Adult,,,"Contra Costa County, California",37.79,-121.7188,Alvarez 2017,"Alvarez, J.A. 2017. AMBYSTOMA CALIFORNIENSE (California Tiger Salamander). PREDATION. Herpetological Review 48(3): 596-596",
Amphibian,Salamander Larvae,Chordata,Amphibia,Urodela,Ambystomatidae,Dicamptodon,,,ITIS:173740,4,Thamnophis atratus, hydrophilus,Thamnophis atratus hydrophilus,ITIS:209146,Juvenile,,,"Hurdygurdy Creek, Del Norte County, California",,,Lind and Welsh 1994,"Lind, A. J., & Welsh, H. H. (1994). Ontogenetic changes in foraging behaviour and habitat use by the Oregon garter snake, Thamnophis atratus hydrophilus. Animal Behaviour, 48(6), 1261–1273. https://doi.org/10.1006/anbe.1994.1362",https://doi.org/10.1006/anbe.1994.1362
Amphibian,Salamander Larvae,Chordata,Amphibia,Urodela,Ambystomatidae,Dicamptodon,,,ITIS:173740,7,Thamnophis atratus, hydrophilus,Thamnophis atratus hydrophilus,ITIS:209146,,,,"Hurdygurdy Creek, Del Norte County, California",,,Lind and Welsh 1994,"Lind, A. J., & Welsh, H. H. (1994). Ontogenetic changes in foraging behaviour and habitat use by the Oregon garter snake, Thamnophis atratus hydrophilus. Animal Behaviour, 48(6), 1261–1273. https://doi.org/10.1006/anbe.1994.1362",https://doi.org/10.1006/anbe.1994.1362
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,,,,,ITIS:173423,4,Thamnophis atratus, hydrophilus,Thamnophis atratus hydrophilus,ITIS:209146,,,,"Hurdygurdy Creek, Del Norte County, California",,,Lind and Welsh 1994,"Lind, A. J., & Welsh, H. H. (1994). Ontogenetic changes in foraging behaviour and habitat use by the Oregon garter snake, Thamnophis atratus hydrophilus. Animal Behaviour, 48(6), 1261–1273. https://doi.org/10.1006/anbe.1994.1362",https://doi.org/10.1006/anbe.1994.1362
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,,,,,ITIS:173423,16,Thamnophis atratus, hydrophilus,Thamnophis atratus hydrophilus,ITIS:209146,Juvenile,,,"Hurdygurdy Creek, Del Norte County, California",,,Lind and Welsh 1994,"Lind, A. J., & Welsh, H. H. (1994). Ontogenetic changes in foraging behaviour and habitat use by the Oregon garter snake, Thamnophis atratus hydrophilus. Animal Behaviour, 48(6), 1261–1273. https://doi.org/10.1006/anbe.1994.1362",https://doi.org/10.1006/anbe.1994.1362
