TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
1146600|Abronia gadovii|(Boulenger, 1913)|Species        |Reviewed|valid||
774220|Acris blanchardi|Harper, 1947|Species        |Reviewed|valid||
774220|Acris blanchardi|Harper, 1947|Species        |Reviewed|valid||
173520|Acris crepitans|Baird, 1854|Species        |Reviewed|valid||
173520|Acris crepitans|Baird, 1854|Species        |Reviewed|valid||
173520|Acris crepitans|Baird, 1854|Species        |Reviewed|valid||
173520|Acris crepitans|Baird, 1854|Species        |Reviewed|valid||
173518|Acris gryllus|(LeConte, 1825)|Species        |Reviewed|valid||
173518|Acris gryllus|(LeConte, 1825)|Species        |Reviewed|valid||
179045|Agelaius phoeniceus|(Linnaeus, 1766)|Species        |Reviewed|valid||
179045|Agelaius phoeniceus|(Linnaeus, 1766)|Species        |Reviewed|valid||
179045|Agelaius phoeniceus|(Linnaeus, 1766)|Species        |Reviewed|valid||
179045|Agelaius phoeniceus|(Linnaeus, 1766)|Species        |Reviewed|valid||
163533|Agosia chrysogaster|Girard, 1856|Species        |Reviewed|valid||
173595|Ambystoma californiense|Gray, 1853|Species        |Reviewed|valid||
173597|Ambystoma gracile|(Baird, 1859)|Species        |Reviewed|valid||
173597|Ambystoma gracile|(Baird, 1859)|Species        |Reviewed|valid||
173597|Ambystoma gracile|(Baird, 1859)|Species        |Reviewed|valid||
173597|Ambystoma gracile|(Baird, 1859)|Species        |Reviewed|valid||
173598|Ambystoma jeffersonianum|(Green, 1827)|Species        |Reviewed|valid||
173601|Ambystoma macrodactylum|Baird, 1850|Species        |Reviewed|valid||
173590|Ambystoma maculatum|(Shaw, 1802)|Species        |Reviewed|valid||
173590|Ambystoma maculatum|(Shaw, 1802)|Species        |Reviewed|valid||
173590|Ambystoma maculatum|(Shaw, 1802)|Species        |Reviewed|valid||
173591|Ambystoma opacum|(Gravenhorst, 1807)|Species        |Reviewed|valid||
173591|Ambystoma opacum|(Gravenhorst, 1807)|Species        |Reviewed|valid||
173591|Ambystoma opacum|(Gravenhorst, 1807)|Species        |Reviewed|valid||
586245|Ambystoma ordinarium|Taylor, 1940|Species        |Reviewed|valid||
173604|Ambystoma talpoideum|(Holbrook, 1838)|Species        |Reviewed|valid||
173605|Ambystoma texanum|(Matthes, 1855)|Species        |Reviewed|valid||
173605|Ambystoma texanum|(Matthes, 1855)|Species        |Reviewed|valid||
