name
Abronia gadovii
Acris blanchardi
Acris blanchardi
Acris crepitans
Acris crepitans
Acris crepitans
Acris crepitans
Acris gryllus
Acris gryllus
Agelaius phoeniceus
Agelaius phoeniceus
Agelaius phoeniceus
Agelaius phoeniceus
Agosia chrysogaster
Ambystoma californiense
Ambystoma gracile
Ambystoma gracile
Ambystoma gracile
Ambystoma gracile
Ambystoma jeffersonianum
Ambystoma macrodactylum
Ambystoma maculatum
Ambystoma maculatum
Ambystoma maculatum
Ambystoma opacum
Ambystoma opacum
Ambystoma opacum
Ambystoma ordinarium
Ambystoma talpoideum
Ambystoma texanum
Ambystoma texanum
Ambystoma texanum
Ambystoma texanum
Ambystoma texanum
Ambystoma tigrinum
Ambystoma velasci
Ambystoma velasci
Ameiurus melas
Anax junius
Anaxyrus americanus
Anaxyrus americanus
Anaxyrus americanus
Anaxyrus americanus
Anaxyrus americanus
Anaxyrus americanus
Anaxyrus americanus
Anaxyrus americanus
Anaxyrus americanus
Anaxyrus americanus
Anaxyrus boreas
Anaxyrus boreas
Anaxyrus boreas
Anaxyrus boreas
Anaxyrus boreas
Anaxyrus boreas
Anaxyrus boreas
Anaxyrus boreas
Anaxyrus boreas
Anaxyrus boreas halophilus
Anaxyrus boreas halophilus
Anaxyrus californicus
Anaxyrus californicus
Anaxyrus californicus
Anaxyrus compactilis
Anaxyrus debilis
Anaxyrus fowleri
Anaxyrus fowleri
Anaxyrus fowleri
Anaxyrus punctatus
Anaxyrus punctatus
Anaxyrus punctatus
Anaxyrus punctatus
Anaxyrus punctatus
Anaxyrus punctatus
Anaxyrus punctatus
Anaxyrus punctatus
Anaxyrus punctatus
Anaxyrus punctatus
Anaxyrus quercicus
Anaxyrus quercicus
Anaxyrus terrestris
Anaxyrus woodhousii
Anaxyrus woodhousii
Anaxyrus woodhousii
Anaxyrus woodhousii
Anaxyrus woodhousii woodhousii
Aneides hardii
Aneides hardii
Anolis liogaster
Pseudoeurycea scandens
Arion circumscriptus
Ascaphus truei
Aspidoscelis inornata
Atlantihyla spinipollex
Barisia imbricata
Barisia imbricata
Barisia imbricata
Barisia levicollis
Barisia levicollis
Batrachoseps major
Blarina brevicauda
Blarina brevicauda
Cambarellus  montezumae
Carassius auratus
Carassius auratus
Cardinalis cardinalis
Catharus guttatus
Catostomus insignis
Catostomus occidentalis
Cipangopaludina chinensis
Cipangopaludina chinensis
Coleonyx brevis
Holbrookia texana
Coptodon zillii
Coptodon zillii
Coptodon zillii
Crotalus triseriatus
Cyprinella lutrensis
Cyprinella lutrensis
Desmognathus fuscus
Desmognathus fuscus
Desmognathus fuscus
Desmognathus fuscus
Desmognathus fuscus
Dicamptodon copei
Dicamptodon ensatus
Dicamptodon ensatus
Dicamptodon ensatus
Dormitator latifrons
Hyla arenicolor
Hyla arenicolor
Hyla arenicolor
Hyla arenicolor
Hyla avivoca
Hyla avivoca
Dryophytes chrysoscelis
Hyla chrysoscelis
Hyla chrysoscelis
Hyla chrysoscelis
Hyla cinerea
Hyla cinerea
Hyla cinerea
Hyla cinerea
Dryophytes eximius
Hyla eximia
Hyla femoralis
Hyla femoralis
Hyla squirella
Hyla squirella
Hyla versicolor
Hyla versicolor
Hyla versicolor
Hyla versicolor
Eisenia foetida
Eleutherodactylus marnocki
Empidonax traillii extimus
Entosphenus tridentatus
Erpobdella punctata
Erpobdella punctata
Erpobdella punctata
Erpobdella punctata
Erpobdella punctata
Eurycea bislineata
Eurycea bislineata
Eurycea bislineata
Eurycea bislineata
Eurycea bislineata
Eurycea bislineata
Eurycea cirrigera
Eurycea longicauda longicauda
Eurycea longicauda longicauda
Exerodonta catracha
Exerodonta catracha
Fundulus zebrinus
Fundulus zebrinus
Gambusia affinis
Gambusia affinis
Gambusia affinis
Gambusia affinis
Gambusia affinis
Gambusia affinis
Gastrophryne carolinensis
Gastrophryne olivacea
Gastrophryne olivacea
Gastrophryne olivacea
Gastrophryne olivacea
Gastrophryne olivacea
Geothlypis trichas
Girardinichthys multiradiatus
Gobiomorus maculatus
Gyrinophilus porphyriticus
Herichthys cyanoguttatus
Hesperoleucus symmetricus
Holbrookia maculata
Hydromantes platycephalus
Hypopachus barberi
Incilius cristatus
Incilius cristatus
Incilius mazatlanensis
Incilius nebulifer
Incilius occidentalis
Incilius valliceps
Incilius valliceps
Incilius valliceps
Isthmura bellii
Isthmura bellii
Isthmura bellii
Junco hyemalis oreganus
Lepomis cyanellus
Lepomis megalotis
Leptodactylus melanonotus
Leptodactylus melanonotus
Lepus americanus
Rana berlanderi
Rana berlanderi
Lithobates berlandieri
Lithobates berlandieri
Rana blairi
Rana catesbeiana
Rana catesbeiana
Rana catesbeiana
Rana catesbeiana
Lithobates catesbeianus
Lithobates catesbeianus
Lithobates catesbeianus
Lithobates catesbeianus
Lithobates catesbeianus
Lithobates catesbeianus
Lithobates catesbeianus
Lithobates catesbeianus
Lithobates catesbeianus
Lithobates catesbeianus
Lithobates chiricahuensis
Lithobates chiricahuensis
Lithobates chiricahuensis
Lithobates clamitans
Lithobates clamitans
Rana clamitans
Rana clamitans
Rana clamitans
Rana clamitans
Lithobates clamitans
Lithobates forreri
Lithobates gryllio
Lithobates neovolcanicus
Rana palustris
Rana palustris
Lithobates palustris
Rana palustris
Rana palustris
Rana pipiens
Rana pipiens
Rana pipiens
Rana pipiens
Rana pipiens
Rana pipiens
Rana pipiens
Rana pipiens
Rana pipiens
Rana pipiens
Rana pipiens
Lithobates pipiens
Lithobates pipiens
Rana pipiens
Rana pipiens
Lithobates pipiens
Rana pipiens
Lithobates pipiens 
Rana septenrionalis
Lithobates spectabilis
Lithobates sphenocephalus
Lithobates sphenocephalus
Lithobates sphenocephalus
Rana sylvatica
Lithobates sylvaticus
Lithobates sylvaticus
Lithobates sylvaticus
Lithobates sylvaticus
Lithobates sylvaticus
Rana sylvatica
Rana sylvatica
Rana sylvatica
Rana sylvatica
Lithobates sylvaticus
Rana sylvatica
Lithobates yavapaiensis
Micropterus salmoides
Microtus californicus
Microtus ochrogaster
Microtus (Mynomes) oregoni
Microtus (Pitymys) quasiater
Microtus townsendii
Microtus townsendii
Mugil curema
Mus musculus
Notemigonus crysoleucas
Notophthalmus meridionalis kallerti
Notophthalmus viridescens
Notophthalmus viridescens
Notophthalmus viridescens
Notropis heterolepis
Oncorhynchus mykiss
Oncorhynchus mykiss
Oncorhynchus mykiss
Oncorhynchus mykiss 
Orthodon microlepidotus
Osteopilus septentrionalis
Osteopilus septentrionalis
Passerella iliaca
Peromyscus leucopus
Peromyscus maniculatus
Peromyscus maniculatus
Planorbella subcrenata
Plestiodon brevirostris
Plethodon albagula
Plethodon chattahoochee
Plethodon chlorobryonis
Plethodon cinereus
Plethodon cinereus 
Plethodon cinereus 
Plethodon cinereus 
Plethodon cinereus 
Plethodon cinereus 
Plethodon cinereus 
Plethodon glutinosus
Plethodon glutinosus
Plethodon glutinosus
Plethodon glutinosus
Plethodon glutinosus
Plethodon glutinosus
Plethodon idahoensis
Plethodon idahoensis
Plethodon idahoensis
Plethodon mississippi
Plethodon neomexicanus
Plethodon nettingi
Plethodon vehiculum
Podarcis muralis
Podarcis muralis
Podarcis siculus campestris
Poecilia butleri
Pseudacris brimleyi
Pseudacris brimleyi
Pseudacris clarkii
Pseudacris clarkii
Hyla crucifer
Hyla crucifer
Hyla crucifer
Hyla crucifer
Pseudacris feriarum
Pseudacris hypochondriacacurta
Pseudacris maculata
Hyla regilla
Pseudacris regilla
Hyla regilla
Hyla regilla
Hyla regilla
Pseudacris regilla
Pseudacris regilla
Pseudacris regilla
Pseudacris regilla
Pseudacris regilla
Pseudacris regilla
Pseudacris regilla
Hyla regilla
Pseudacris regilla
Hyla regilla
Pseudacris regilla
Hyla regilla
Pseudacris regilla
Pseudacris regilla
Pseudacris sierra
Pseudacris sierra
Pseudacris sierra
Pseudacris sierra
Pseudacris sierra
Pseudacris triseriata
Pseudacris triseriata
Pseudacris triseriata
Pseudacris triseriata
Pseudacris triseriata
Pseudoeurycea granitum
Pseudoeurycea leprosa
Pseudoeurycea leprosa
Rana aurora
Rana aurora
Rana aurora
Rana aurora
Rana aurora
Lithobates blairi
Rana boylii
Rana boylii
Rana boylii
Rana boylii
Rana cascadae
Rana cascadae
Rana cascadae
Rana cascadae
Rana cascadae
Rana cascadae
Rana cascadae
Rana draytonii
Rana draytonii
Rana draytonii
Rana draytonii
Rana muscosa
Rana muscosa
Rana pretiosa
Rana pretiosa
Reithrodontomys megalotis
Rhadinaea taeniata aemula
Rhinichthys osculus
Rhinichthys osculus
Rhinichthys osculus
Rhinichthys osculus 
Rhinichthys sp. 
Rhyacotriton variegatus
Richardsonius egregius
Salvelinus fontinalis
Salvelinus fontinalis
Scaphiopus couchii
Scaphiopus couchii
Scaphiopus couchii
Scincella lateralis
Scincella lateralis
Siphateles bicolor
Siren intermedia
Sorex cinereus
Sorex emarginatus
Sorex vagrans
Sorex vagrans
Spea bombifrons
Spea bombifrons
Spea hammondii
Spea hammondii
Spea multiplicata
Spiza americana
Spizella pusilla
Storeria dekayi
Storeria dekayi
Sturnella magna
Sturnella magna
Sturnella neglecta 
Sylvilagus bachmani
Synaptomys cooperi
Taricha granulosa
Taricha granulosa
Taricha torosa
Taricha torosa
Taricha torosa
Thamnophis eques
Thamnophis errans
Thamnophis ordinoides
Thamnophis proximus
Thamnophis scalaris
Thamnophis scaliger
Thamnophis scaliger
Thamnophis sirtalis
Xenopus laevis
Xenopus laevis
Zonotrichia leucophrys
Acrididae
Acrididae
Acrididae
Acrididae
Acrididae
Dicamptodon
Dicamptodon
Ambystoma
Ambystoma
Ambystoma
Ambystoma
Anaxyrus
Incilius
Anaxyrus
Anaxyrus
Anaxyrus
Anaxyrus
Anaxyrus
Anaxyrus
Anaxyrus
Anaxyrus
Anaxyrus
Carabidae
Carabidae
Catostomus
Centrarchidae  
Lepomis 
Cichlasoma
Geophis
Cottus
Cottus
Cottus
Cottus
Cottus
Microtus
Reithrodontomys
Microtus
Microtus
Peromyscus
Microtus
Peromyscus
Peromyscus
Microtus
Hesperoleucus
Hesperoleucus
Hesperoleucus
Anolis
Eleotridae
Eleotridae
Erpobdella
Erpobdella
Esox 
Formicidae 
Gryllidae
Hirudinidae
Hirudinidae
Hydrophilidae 
Hyla
Hyla
Pseudacris
Hyla
Hyla
Hyla
Pseudacris
Hyla
Pseudacris
Hyla
Hyla
Hyla
Ictaluridae 
Leptodactylus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lumbricus
Lycosidae
Apodemus 
Apodemus 
Apodemus 
Passerellidae
Passer
Passer
Passeridae 
Sceloporus
Plethodon
Plethodontidae
Plethodontidae
Plethodontidae
Plethodontidae
Isthmura
Plethodontidae
Plethodontidae
Pseudotriton
Pseudotriton
Plethodontidae
Chiropterotriton
Poeciliidae
Poeciliidae
Stenotrema 
Rana
Rana
Rana
Rana
Lithobates
Lithobates
Rana
Lithobates
Rana
Rana
Lithobates
Rana
Rana
Lithobates
Notophthalmus
Taricha
Taricha
Tamias
Sorex
Turdidae
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Anura
Arhynchobdellida
Arhynchobdellida
Arhynchobdellida
Arhynchobdellida
Arhynchobdellida
Arhynchobdellida
Arhynchobdellida
Arhynchobdellida
Arhynchobdellida
Arhynchobdellida
Arhynchobdellida
Arhynchobdellida
Coleoptera
Decapoda
Decapoda
Decapoda
Decapoda
Decapoda
Lepidoptera
Lepidoptera 
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Opisthopora
Orthoptera
Passeriformes
Passeriformes
Passeriformes
Rodentia
Rodentia
Rodentia
Rodentia
Rodentia
Rodentia
Rodentia
Squamata
Squamata
Squamata
Squamata
Squamata
Squamata
Squamata
Squamata
Squamata
Urodela
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Actinopterygii
Amphibia
Arachnida
Clitellata
Diplopoda
Gastropoda
Gastropoda
Gastropoda
Gastropoda
Gastropoda
Gastropoda
Gastropoda
Gastropoda
Gastropoda
Gastropoda
Gastropoda
Gastropoda
Gastropoda
