Prey_Highest,Prey_Higher,Prey_Phylum,Prey_Class,Prey_Order,Prey_Family,Prey_Genus,Prey_Species,Prey_Species_Current,Prey_Count,Snake_Species,Snake_Subspecies,FullSpName,Age_Class,SVL(mm),Sex,Location,Latitude,Longitude,Citation,Full_Citation
Amphibian ,Frog_Adult,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius occidentalis,Incilius occidentalis,1,Thamnophis_cyrtopsis,_collaris,Thamnophis_cyrtopsis_collaris,Adult,799,Female,"""El Charcote,"" 6 km SW of Zapotitlan Salinas, Zapotitlan, Puebla",18.33333,-97.43333,Abbadie-Bisogno_et_al_2003,"Abbadie-Bisogno, K, Oliver-Lopez, L., Ramierez-Bautista, A. THAMNOPHIS CYRTOPSIS COLLARIS (Black-Necked Garter Snake). DIET. 2003. Herpetological Review 34(1): 74-74"
Amphibian ,Frog_Adult,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius nebulifer,Incilius nebulifer,1,Thamnophis_proximus ,,Thamnophis_proximus ,,,,", Calhoun County, Texas",28.49378,-96.46685,Adams_and_Childress_2018,"Adams, C. and Childress, J. THAMNOPHIS PROXIMUS (Western Ribbonsnake). DIET AND MORTALITY. 2018. Herpetological Review 49(4): 765-765"
Amphibian ,Salamander_Larvae,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,Ambystoma californiense,Ambystoma californiense,1,Thamnophis_atratus,,Thamnophis_atratus,Adult,,,"Contra Costa County, California",37.79000,-121.71880,Alvarez_2017,"Alvarez, J.A. 2017. AMBYSTOMA CALIFORNIENSE (California Tiger Salamander). PREDATION. Herpetological Review 48(3): 596-596"
Amphibian ,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Eurycea,Eurycea longicauda longicauda,Eurycea longicauda longicauda,1,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,Adult,,,United States,40.29422,-82.79167,Anothony_et_al_2007,"Anthony, C., Venesky, M., Spetz, J. EURYCEA LONGICAUDA LONGICAUDA (Long-tailed Salamander). PREDATION. 2007. Herpetological Review 38(2): 175-176"
Amphibian ,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Eurycea,Eurycea longicauda longicauda,Eurycea longicauda longicauda,1,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,Adult,,,United States,40.29422,-82.79167,Anothony_et_al_2007,"Anthony, C., Venesky, M., Spetz, J. EURYCEA LONGICAUDA LONGICAUDA (Long-tailed Salamander). PREDATION. 2007. Herpetological Review 38(2): 175-176"
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla regilla,Pseudacris regilla,18,Thamnophis_sirtalis,_infernalis,Thamnophis_sirtalis_infernalis,,,,"8 km SSW. of Orick, Humbolt Co., California",,,Arnold_1978,"Arnold, S. J. (1978). Some effects of early experience on feeding responses in the common garter snake, Thamnophis sirtalis. Animal Behaviour, 26, 455–462. https://doi.org/10.1016/0003-3472(78)90062-3"
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Ranidae,Rana,Rana aurora,Rana aurora,25,Thamnophis_sirtalis,_infernalis,Thamnophis_sirtalis_infernalis,,,,"8 km SSW. of Orick, Humbolt Co., California",,,Arnold_1978,"Arnold, S. J. (1978). Some effects of early experience on feeding responses in the common garter snake, Thamnophis sirtalis. Animal Behaviour, 26, 455–462. https://doi.org/10.1016/0003-3472(78)90062-3"
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,Ambystoma gracile,Ambystoma gracile,18,Thamnophis_sirtalis,_infernalis,Thamnophis_sirtalis_infernalis,,,,"8 km SSW. of Orick, Humbolt Co., California",,,Arnold_1978,"Arnold, S. J. (1978). Some effects of early experience on feeding responses in the common garter snake, Thamnophis sirtalis. Animal Behaviour, 26, 455–462. https://doi.org/10.1016/0003-3472(78)90062-3"
Fish,Fish,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hesperoleucus,,,2,Thamnophis_sirtalis,_infernalis,Thamnophis_sirtalis_infernalis,,,,"8 km SSW. of Orick, Humbolt Co., California",,,Arnold_1978,"Arnold, S. J. (1978). Some effects of early experience on feeding responses in the common garter snake, Thamnophis sirtalis. Animal Behaviour, 26, 455–462. https://doi.org/10.1016/0003-3472(78)90062-3"
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,Anaxyrus boreas,368,Thamnophis_elegans,_elegans,Thamnophis_elegans_elegans,,,,"Lassen County, California",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla regilla,Pseudacris regilla,316,Thamnophis_elegans,_elegans,Thamnophis_elegans_elegans,,,,"Lassen County, California",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Ranidae,Rana,Rana catesbeiana,Lithobates catesbeiana,1,Thamnophis_elegans,_elegans,Thamnophis_elegans_elegans,,,,"Pierce County, Washington ",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Amphibian,Salamander_Larvae,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,Ambystoma gracile,Ambystoma gracile,1,Thamnophis_elegans,_elegans,Thamnophis_elegans_elegans,,,,"Pierce County, Washington ",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Fish,Fish,Chordata,Actinopterygii,,,,,,2,Thamnophis_elegans,_elegans,Thamnophis_elegans_elegans,,,,"Pierce County, Washington ",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Fish,Fish,Chordata,Actinopterygii,,,,,,570,Thamnophis_elegans,_elegans,Thamnophis_elegans_elegans,,,,"Lassen County, California",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Invertebrate,Leech,Annelida,Clitellata,Arhynchobdellida,,,,,819,Thamnophis_elegans,_elegans,Thamnophis_elegans_elegans,,,,"Lassen County, California",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Invertebrate,Slug,Mollusca,Gastropoda,,,,,,8,Thamnophis_elegans,_elegans,Thamnophis_elegans_elegans,,,,"Pierce County, Washington ",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla regilla,Pseudacris regilla,14,Thamnophis_elegans,_terrestris,Thamnophis_elegans_terrestris,,,,"Humboldt County, California ",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Ranidae,Rana,Rana aurora,Rana aurora,20,Thamnophis_elegans,_terrestris,Thamnophis_elegans_terrestris,,,,"Humboldt County, California ",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Amphibian,Salamander_Larvae,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,Ambystoma gracile,Ambystoma gracile,3,Thamnophis_elegans,_terrestris,Thamnophis_elegans_terrestris,,,,"Humboldt County, California ",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,Lumbricidae,Lumbricus,,,3,Thamnophis_elegans,_terrestris,Thamnophis_elegans_terrestris,,,,"Humboldt County, California ",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Invertebrate,Slug,Mollusca,Gastropoda,,,,,,531,Thamnophis_elegans,_terrestris,Thamnophis_elegans_terrestris,,,,"Humboldt County, California ",,,Arnold_1991,"Arnold, S. J. (1992). Behavioural variation in natural populations. VI. Prey responses by two species of garter snakes in three regions of sympatry. Animal Behaviour, 44(4), 705–719. https://doi.org/10.1016/S0003-3472(05)80297-0"
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,27,Thamnophis_brachystoma,,Thamnophis_brachystoma,,,,Pennsylvania,40.87475,-77.80103,Asplund_1963,"Kennneth K. Asplund. (1963). Ecological Factors in the Distribution of Thamnophis brachystoma (Cope). Herpetologica, 19(2), 128–132. http://www.jstor.org/stable/3890548"
